"txtDepartment";"txtCategory";"boxQuestion";"boxAnswer"
"Assessor`s Office";"A) Real Property";"Why Did I Receive A Value Notice?";"<a href=http://www.washoecounty.us/assessor/index.htm>The Office of the Washoe County Assessor</a> mails assessment notices as a courtesy to the property owners of Washoe County to inform them of the proposed taxable and assessed value of the real property on the tax roll for the next fiscal year.  "
"Assessor`s Office";"A) Real Property";"Why Didn`t I Receive A Value Notice?";"The Assessor`s Office makes every effort to send each property owner a value notice; however  postal delays cannot be controlled.  If you would like to verify that this office has the correct mailing address please contact our office at (775) 328-2233.  You can also verify your mailing address on line by going to <a href=\"http://www.washoecounty.us/assessor/cama/\">Real Property Assessment Data</a> then click on \"Go To Search Page\".  There you will be able to look up your parcel using your Parcel Number, Street Address, or Owner Name.

The full secured tax roll will be printed in the newspaper, per <a href=\"http://www.leg.state.nv.us/NRS/NRS-361.html\">NRS 361</a>  , before the first day in January.  Copies will be available at the Washoe County Assessors Office and at <a href=\"http://www.washoe.lib.nv.us\">Washoe County Libraries</a>.
"
"Assessor`s Office";"A) Real Property";"Is This a Tax Bill?";"No, tax bills are mailed by the <a href=\"http://www.washoecounty.us/treas\">Washoe County Treasurer</a>. Tax bills for the secured  tax roll are mailed in July of each year.  Tax bills for unsecured real property are mailed in November
"
"Assessor`s Office";"A) Real Property";"Why Did My Values Change?";"The Taxable Value can change because of a boundary change, new construction, a change in use, a mandatory five year reappraisal, factoring in years a reappraisal is not done, or any combination of these factors. 
<UL>
<LI>Boundary changes occur when old parcels are either divided or combined. 
<LI>New construction includes new buildings, additions, remodeling, etc. 
<LI>Changes in use can include such changes as converting a residence to office or retail use or land from agricultural use to residential use. 
<LI>Reappraisal of property is done annually. Improvements are recalculated to current cost of replacement, less depreciation and land is revalued to reflect the current market. 
</UL>"
"Assessor`s Office";"A) Real Property";"What Should I Do With The Notice?";"This is your first opportunity to review the proposed taxable value of your property.  If you believe that this new value is in error or is above the full cash value for your property, please call  (775) 328-2233 or visit the Assessor`s office at 1001 E Ninth St. and ask to speak to an appraiser.  Upon request, our office will furnish a copy of the most recent appraisal of the property and more often than not your question or concern can be resolved on the initial phone call or visit. Information on your property assessment can also be found through our <a href=\"/assessor/cama/index.php\">Property Assessment Data web pages</a>.

"
"Assessor`s Office";"A) Real Property";"What If I Do Not Agree With The Appraisal?";"If we are unable to resolve your concerns you can appeal to the County Board of Equalization for a review of  your property`s  taxable value.  The appeal forms may be obtained by contacting our office or the<a href=\"http://www.tax.state.nv.us\"> Nevada Department of Taxation</a>. Your appeal must be filed by January 15th.

Please note:  the burden of proof is on the taxpayer to show that the valuation is in error or that the taxable value exceeds full cash value (market value).

Also note:   the role of the Assessor is property valuations, not property tax rates or taxes.  Questions concerning your tax rates or taxes should be directed to your <a href=\"http://www.washoecounty.us/mgrsoff\">County Commissioner</a> or locally elected <a href=\"http://leg.state.nv.us/\">state representative</a>.

The appeal form and additional information can be found on our website on our <a href=\"http://www.washoecounty.us/assessor/Value_Notices.htm\">Assessment Notice/Appeal Information </a>page.
"
"Assessor`s Office";"A) Real Property";"How Can I Get Specific Data On Both My Home And Real Commercial Parcels?";"Click here for For <a href=http://www.washoecounty.us/assessor/cama/index.php> Real Property Assessment Data</a>.  Data updated nightly and will give you specific information for the parcels."
"Assessor`s Office";"B) Tax Cap";"What Is The Partial Abatement?";"<a href=http://www.leg.state.nv.us/NRS/NRS-361.html#NRS361Sec471>NRS 361.471-361.4735</a> provides for a partial abatement of taxes by limiting or \"capping\" the amount a tax bill can increase from year to year.  The increase is limited to 3% for an owner occupied primary residence (single-family home, townhouse, condominium or manufactured home) and certain qualified rental properties.  Tax bills for all other properties (residences that are not owner occupied, land, commercial buildings, business personal property, aircraft, etc.) are limited to a percentage not to exceed 8%.
<ul>
<li>If the property is your primary residence within the State of Nevada, the abatement equals the amount of taxes that exceed last year`s tax bill plus 3%.</li>
<li>If the property contains rental unit(s) and the rent on all units within the property are at or below the fair market rent for the county in which the dwelling is located, as most recently published by the United States Department of Housing and Urban Development, the abatement equals the amount of taxes which exceed last year`s tax bill plus 3%.</li>

<li>Most other properties (rental units where the rent exceeds the HUD guidelines, commercial, industrial, vacant land, mixed use, etc.), except as noted below, are subject to an abatement at a higher level which is calculated by comparing </li>

<li>           (1) The greater of:
                   (I) The average percentage of change in the assessed valuation of all the taxable property in the county, as determined by the Department, over the fiscal year in which the levy is made and the 9 immediately preceding fiscal years;
                   (II) Twice the percentage of increase in the Consumer Price Index for all Urban Consumers, U.S. City Average (All Items) for the immediately preceding calendar year; or
                   (III) Zero; or
             (2) Eight percent,
whichever is less.</li>

<li>For 2009, the result of the above is 7.7%</li>
</ul>
"
"Assessor`s Office";"B) Tax Cap";"Why did my tax bill increase when my assessed value decreased or did not change?";"Because the current year tax bill is calculated based on the prior year tax bill,  changes in assessed value do not have as much impact on a tax bill (up or down) as they did prior to the law change.

The abatement is the amount of additional taxes that would have been owed if not for the tax cap. For a property with a 3% tax cap, if the 2008 tax bill was $1,000 the 2009 tax bill could be no more than $1,030 even if the calculated taxes (assessed value x tax rate) were $1,050.

In the example above the $20 difference between the actual tax bill of $1,030 and the calculated tax bill of $1,050 is the abatement.

The abatement amount is identified on the tax bill. A decrease in assessed value will not result in a decrease in taxes until the prior year`s tax bill plus your tax cap percentage is greater than your actual calculated taxes. In an increasing market you may receive abatement for each year. In a declining or stagnant market your tax bill may eventually increase until there is no abatement for a tax year.

For most properties, fiscal year 2004/05 is the base year for applying the tax cap and calculating the abatement. Although values may have increased in succeeding years, the new law limits the increase to a tax bill to 3% or 8%.

Any increase in value (except increases due to improvement to or changes in the actual or authorized use of the property) that would cause a property owners tax bill to increase by more than 3% or 8% results in an abatement of the taxes.

For parcels created after fiscal year 2004/05, which are designated as \"new parcels\", the base year would be the year the parcel was created and the abatement and tax cap would apply from that year forward. 

<a href=\"http://www.washoecounty.us/assessor/AB489Increase.htm\" target = \"_blank\">Click here for  additional examples
"
"Assessor`s Office";"B) Tax Cap";"Who Is Eligible For The 3% Tax Cap?";"All owner occupied homes (including single-family homes, condos, townhouses and manufactured homes) that are used as primary residences qualify for the 3% tax cap.  Also, rental units may be eligible if all the units are rented for equal to or less than the HUD median market rents.
"
"Assessor`s Office";"B) Tax Cap";"What Is Capped Under The Partial Abatement Statutes?";"The statutes provide for a partial abatement of the ad valorem taxes levied on a qualified property. The effect of this partial abatement results in a Tax Cap. The tax cap will limit the increase of your tax bill to 3% over the previous year`s tax amount for your primary residence within Nevada or rental properties where the rent charged does not exceed the fair market rent for the county in which the dwelling is located, as most recently published by HUD.  Most other property will receive a higher \"cap\", which, for 2009/2010 is 7.7 % over the previous years tax bill. This higher cap is subject to change yearly.  It does not limit the increase in assessed value."
"Assessor`s Office";"B) Tax Cap";"What Does Primary Residence Mean?";"A residence which is designated by the owner as the primary residence of the owner in this State, exclusive of any other residence of the owner in this State; AND

Which is not rented, leased or otherwise made available for exclusive occupancy by any person other than the owner of the residence and members of the family of the owner.
"
"Assessor`s Office";"B) Tax Cap";"How Does The Tax Cap Affect My Exemption?";"The exemption will be applied to the tax bill after the cap is applied.
"
"Assessor`s Office";"B) Tax Cap";"Why Did My Bill Go Up By More Than The Prescribed Cap From Last Year`s Bill?";"The following situations could cause an increase of more than the prescribed cap:

An exemption, which was applied to last years tax bill, was removed for
the current year.

There was a change in use for the property such as a zoning change or
mobile home conversion.

There was new construction or improvement to the property.

New, Voter approved, increases were levied or the property was annexed into a district with a higher tax rate.

There are items billed on your tax bill that are not ad valorem taxes.  These are not affected by the tax cap, and could increase more than the prescribed cap.
"
"Assessor`s Office";"B) Tax Cap";"Will My Tax Bill Increase By The Amount Of The Corresponding Cap?";"Not necessarily, any property where the percentage of tax increase is less than the corresponding cap, and there is no prior abatement,  will only be billed the original increase of the taxes. The corresponding cap will not automatically increase the tax bill."
"Assessor`s Office";"B) Tax Cap";"What If I Rent Out A Room In My Primary Residence?";"If you live in the home you own, it is considered your primary residence and therefore qualifies for the 3% tax cap.
"
"Assessor`s Office";"B) Tax Cap";"What If I Rent Out My Guesthouse Or Casita?";"The rent you are charging would need to be equal to or less than the HUD median market rent in order to qualify for the 3% cap. The higher cap would apply unless it is a new property for this year, which does not have a cap."
"Assessor`s Office";"B) Tax Cap";"Is The Land My Manufactured Home Sits On Eligible For The 3% Cap On Taxes?";"If you own both the land and the manufactured home, and occupy the manufactured home as your primary residence you are eligible for the 3% tax cap on the land and manufactured home.  This applies even if the manufactured home has not been converted to real property.  

If you own the manufactured home but not the land, the manufactured home is eligible for the 3% tax cap. The cap level for the land would be determined based on the space rent charged.

If you own the land but not the manufactured home you would not be eligible for the 3% tax cap unless the space rent is less than the HUD median market rent.

If you own the land and the manufactured home but they are a rental, you are eligible for the 3% tax cap only if the rent you are charging is equal to or less than the HUD median market rent.
"
"Assessor`s Office";"B) Tax Cap";"If my home is under construction and I am living on the land in a mobile home, can the property quaify as my primary residence (3% \"Tax Cap\")?";"Yes, as long as you are not already claiming another property in the State of Nevada as your primary residence."
"Assessor`s Office";"B) Tax Cap";"How Do I Qualify For A 3% Tax Cap For Rental Property?";"Each and every rental unit on the parcel must be rented for equal to or less than the HUD median market rent. All units must qualify."
"Assessor`s Office";"B) Tax Cap";"What If I Run A Business In My Primary Residence? Does My Property Still Qualify For The 3% Tax Cap?";"If your parcel has a land use code (zoning) of residential, your property would still qualify for the 3% tax cap.
"
"Assessor`s Office";"B) Tax Cap";"What If My Primary Residence Is On The Same Parcel As My Business?";"If your parcel has a land use code (zoning) of commercial and it also includes your primary residence, the residential portion of your property can qualify for the 3% cap.  

The county assessor may determine the separate portions of your property that are commercial (nonqualifying) and residential (qualifying) and apply to each such portion the appropriate partial abatement from property taxes. 
"
"Assessor`s Office";"B) Tax Cap";"What If I Sell My Home Or Purchase A New Home?";"The transfer of ownership of property will trigger a new affidavit to be mailed to the new owner to verify the status. The new affidavits will be mailed in April and August."
"Assessor`s Office";"B) Tax Cap";"I Received The 3% Tax Cap, Why Did My Assessed Value Go Up By More Than 3%?";"The 3% tax cap is applied to your tax amount, not the assessed value of your property.
"
"Assessor`s Office";"B) Tax Cap";"Can I Apply For Or Change My Cap Over The Phone?";"No, you must sign the application and, if necessary, the rental questionnaire as the property owner. We will send the documents to you upon request."
"Assessor`s Office";"B) Tax Cap";"Do I Have To Give You This Information?";"If this is your primary residence-No, but you will not qualify for the tax cap if you do not, and you must sign the form.

If this is a rental property - <a href=\"http://www.leg.state.nv.us/NAC/NAC-361.html\" target=\"_blank\">Nevada Administrative Code 361.607(2)(a)</a> states: A claim for a residential rental abatement must be filed annually with the county assessor of the county in which the property is located not later than June 15 of each year; and......

Additionally, incomplete and/or unsigned forms may result in the property not qualifying for the lower tax cap which may result in a higher tax bill."
"Assessor`s Office";"B) Tax Cap";"Do All Owners Of A Given Property Have To Sign The Letter?";"No.  Any owner or legally authorized agent may sign the letter."
"Assessor`s Office";"B) Tax Cap";"I Have Multiple Properties Owned By A Trust That A Trust Beneficary Live In.  Will The 3% Tax Cap Apply To These Properties?";"Yes, all properties in which the beneficary of the trust occupy as their primary residence would qualify for the 3% tax cap.
"
"Assessor`s Office";"B) Tax Cap";"Is My Tax Rate Capped?";"No, only the amount of increase on your tax bill is capped.
"
"Assessor`s Office";"B) Tax Cap";"Is My Taxable Value Capped?";"No, only the amount of increase on your tax bill is capped."
"Assessor`s Office";"B) Tax Cap";"I Rented My House On July 1st For More Than Hud Median Market Rents, But Now In November Of The Same Year, It Is My Primary Residence.  Can I Receive  The 3% Cap For The Remainder Of The Fiscal Year?";"No, the cap is applied based on the status effective July 1st of that fiscal year ( our fiscal year is July 1 thru June 30).  You can change your property qualification to primary residence effective July 1st of the following year."
"Assessor`s Office";"B) Tax Cap";"I Rent My Home For Only A Few Days A Year At $400 A Day For A Total Of, Approximately, $4000 For The Year, If I Divide This Rent By 12 Months, Then I Make $330 A Month Rent Which Is Below HUD Median Market Rent.  Does My Property Qualify For The 3% Cap?";"No, if you rent by the day, your property would be considered transient lodging, which does not qualify.  

A better way to do the math would be:  Rent of $400 a day X 30 days in a month = $12,000 a month rent, which is above HUD median market rent, and would not qualify.
"
"Assessor`s Office";"B) Tax Cap";"I Own A Motel That Rents Weekly For Less Than Hud Median Market Rent For The Month.  Do I Qualify For The 3% Cap?";"No, transient lodging does not qualify."
"Assessor`s Office";"B) Tax Cap";"I Own Many Homes, But Only One Home In Nevada.  Do I Qualify For The 3% Cap?";"The home in Nevada could qualify as your primary residence provided it meets all the previously stated requirements and it is not rented out at any time when you are not occupying the home.

If it is a full time rental and meets the HUD low rental guidelines it may qualify for the 3% residential rental tax cap."
"Assessor`s Office";"B) Tax Cap";"I Own Many Homes Throughout Nevada, Each Of Which Is Used Only By Me.  Can They All Qualify For The 3% Cap?";"You can have only one primary residence in Nevada, however, if each home that you own has a family member living in it full time, that does not pay any rent, then that home would qualify for the 3% cap as a rental, renting below HUD median market rent.  (The rent would be $0.00 a month.) "
"Assessor`s Office";"B) Tax Cap";"You Denied My Request For The 3% (Or Higher) Tax Cap, How Do I Appeal Your Decision?";"The Assessor`s Office has created a form for you to fill out to appeal the decision made on the tax cap applied to your property. You can obtain that form by calling, writing or coming in to the Assessor`s Office and asking for the Partial Abatement, \"tax cap\",  appeal form.  It is also available on their web site:  

<a href=\"/assessor/taxcap.htm#AppealForm\">Jump to Appeal Form Link</a>

Beginning with the 2009/2010 fiscal year the deadline to appeal is June 30th.  So for the 2010/2011 fiscal year appeals must be filed by June 30, 2011. Prior to 2009/2010 the deadline to appeal was January 15th, so for the 2008/2009 fiscal year the appeal deadline was January 15, 2009.

The Assessor has 30 days to respond to your appeal."
"Assessor`s Office";"B) Tax Cap";"I disagree with the decision on my appeal.  What is my next step?";"If you disagree with the decision on your appeal you may contact the Assessor`s Office with additional information and/or appeal the decision to the Nevada Tax Commission as oulined in <a href=\"http://www.leg.state.nv.us/NRS/NRS-361.html\" target=\"_blank\">Nevada Revised Statute 361.4734(2)</a>.  

You have 30 days after receiving notice of the Assessor`s decision to file an appeal with the Nevada Tax Commission."
"Assessor`s Office";"B) Tax Cap";"I received tax cap forms for my rental properties, but I didn`t receive one for my primary residence. Should I have received one?";"Once we receive a claim form  for an owner occupied primary residence we maintain the 3% cap on the property unless there is an ownership change, mailing address change, or if the owner notifies us of a status change.  At that time we would send out another claim form for verification.  We have to verify rents every year so youâ€™ll continue to receive the rental forms. "
"Assessor`s Office";"C) Exemptions";"How Do I Apply For Tax Exemption For Non-Profit Or Religious Organizations, Low-Income Housing And Charter Schools?";"An application must be completed and returned to the Assessor`s office.  Call 775-328-2605 for information and to request the appropriate application."
"Assessor`s Office";"C) Exemptions";"Does The State Of Nevada Offer Any Types Of Tax Assistance Or Exemptions To Individual Taxpayers?";"<span style=\"font-size: 90%;\">Yes, Nevada offers tax exemptions to persons meeting certain requirements such as: Surviving Spouse, Veterans, Disabled Veterans, and Blind Persons. These exemptions can be applied to real property, personal property (mobile homes, etc.) or used to exempt all or part of your vehicle privilege tax. The tax dollar amount of the exemption varies.

<br>Nevada also has special exclusions for pollution control, radioactive fallout shelters, renewable resource heating and cooling systems, and residential construction to remove architectural barriers for handicapped persons.</span></blockquote>"
"Assessor`s Office";"C) Exemptions";"When Should I Apply For An Exemption?";"For an exemption to be used on real property, the application must be made and the real property exemption card signed on or before June 15, prior to the start of the new tax year. If the exemption is to be applied to personal property or a motor vehicle, the personal property exemption card may be signed any time on or before the date such taxes are due.
"
"Assessor`s Office";"C) Exemptions";"Who Is Eligible For A Surviving Spouse And How Do I Make Application?";"This exemption applies to surviving spouses who are residents of the State of Nevada and is in the amount of $1,000 assessed value. To receive this exemption a surviving spouse must bring a copy of the death certificate to the Assessor`s office when initially applying for the exemption, and sign an affidavit of bona fide residency*.

*NRS 361.015 \"Bona fide resident\" defined. \"Bona fide resident\" means a person who has:

1. Established a residence in the State of Nevada; and

2. Actually resided in this state for at least 6 months or has a valid driver`s license or identification card issued by the Department of Motor Vehicles of this state."
"Assessor`s Office";"C) Exemptions";"Who Is Considered To Be Qualified For The \"Blind\" Exemption?";"The Blind Exemption is in the amount of $3,000 assessed value and is available to residents with visual acuity that does not exceed 20/200 in the better eye when corrected, or whose field of vision subtends an angle of 20 degrees or less. To qualify for this exemption, it is necessary to furnish a doctor`s statement that the above requirements are met and sign an affidavit of bona fide residency*.

*NRS 361.015 \"Bona fide resident\" defined. \"Bona fide resident\" means a person who has:

1. Established a residence in the State of Nevada; and

2. Actually resided in this state for at least 6 months or has a valid driver`s license or identification card issued by the Department of Motor Vehicles of this state."
"Assessor`s Office";"C) Exemptions";"What Are The Requirements For A \"Veteran`s\" Exemption?";"The Veteran`s exemption is applicable to an honorably discharged veteran of the Armed Forces of the United States who is a bona fide resident* of the State of Nevada and served a minimum of ninety (90) days of active duty. For information about active duty periods, please call our Public Service Division (775)328-2277.

When filing for the first time, it is necessary to bring in a copy of your separation papers showing dates of entry and discharge or release from active duty.

*NRS 361.015 \"Bona fide resident\" defined. \"Bona fide resident\" means a person who has:

1. Established a residence in the State of Nevada; and

2. Actually resided in this state for at least 6 months or has a valid driver`s license or identification card issued by the Department of Motor Vehicles of this state."
"Assessor`s Office";"C) Exemptions";"What Qualifies A Veteran For The \"Disabled Veteran\" Exemption?";"The Disabled Veteran`s Exemption is provided for veterans who have a permanent service connection disability of at least 60%.

To qualify for this exemption, you must be a bona fide resident* of Nevada and furnish copies of your separation papers showing dates of entry and discharge and documentation of the percentage of service connected disability from the Veteran`s Administration. The surviving spouse of a disabled veteran who was eligible for this exemption at the time of his/her death may also be eligible to receive the benefits of this program.

*NRS 361.015 \"Bona fide resident\" defined. \"Bona fide resident\" means a person who has:

1. Established a residence in the State of Nevada; and

2. Actually resided in this state for at least 6 months or has a valid driver`s license or identification card issued by the Department of Motor Vehicles of this state."
"Assessor`s Office";"D) Business Personal Property";"Where Is The Business Personal Property Page?";"Click here to access <a href=\"/assessor/cpp.htm\">Business Personal Property Overview</A>"
"Assessor`s Office";"D) Business Personal Property";"What Is Personal Property Tax?";"It is a tax according to value (ad valorem) levied on all property not permanently affixed to land, such as business equipment, building improvements, aircraft , agricultural equipment, possessory interests, billboards, etc.
Click here for <a href=http://www.washoecounty.us/assessor/cpp.htm>Personal Property Overview</a>."
"Assessor`s Office";"D) Business Personal Property";"What Do I Report?";"The personal property declaration requires you to report information on any taxable personal property owned, claimed, possessed, controlled or managed by the person, firm, corporation, association or company on July 1st of the current fiscal year. This information includes the location, the cost and year of acquisition of each item of taxable personal property, including any applicable shipping and installation charges and the cost of any improvements of the personal property, such as additions to or renovations of the property other than routine maintenance or repairs.

Items that are exempt from taxation include business inventory held for resale, consumable supplies (to be used within one year), livestock, boats and personal household belongings. The exemption of household goods does not extend to personal property or furnishings rented or leased to another party or rented in conjunction with the rental of a dwelling unit. Motor vehicles required to be registered with the Nevada Department of Motor Vehicles and Public Safety are exempt from the property tax, though subject to a governmental service tax.
"
"Assessor`s Office";"D) Business Personal Property";"Do I Report Depreciation?";"No. Report the original acquisition costs, and year of acquisition. The Assessors office will apply depreciation according to a schedule supplied by the Nevada Department of Taxation.

"
"Assessor`s Office";"D) Business Personal Property";"Do I Include Sales Tax?";"No.  On of July 1, 1998 the Nevada Administrative Code was changed to exclude sales tax in the determination of original costs for personal property declarations. (NAC 361.134)
"
"Assessor`s Office";"D) Business Personal Property";"How Is My Personal Property Valued?";"Your original <a href=\"/assessor/cppfactors.htm\">cost x cost index - depreciation = taxable value</A>. 
The Nevada Department of Taxation provides the replacement cost and depreciation factors, used to determine the taxable values. 

Taxable value is assessed at 35%. 
Taxable Value x .35 = Assessed Value. "
"Assessor`s Office";"D) Business Personal Property";"How Much Is The Tax?";"Tax information is maintained by the <a href=\"http://www.washoecounty.us/treas\">Office of the Washoe County Treasurer</A>

.
"
"Assessor`s Office";"D) Business Personal Property";"What Is The Difference Between Sales Tax And Personal Property Tax?";"Sales tax is a one-time tax, which is collected at the point of sale. Personal property tax is an annual tax, which is based on the current value of the property.
"
"Assessor`s Office";"D) Business Personal Property";"Who Has To Report?";"State statutes require every person, firm, corporation, association or company doing business in Nevada to report annually to the county where the personal property is located.
"
"Assessor`s Office";"D) Business Personal Property";"When Do I Report?";"The declaration forms, supplied by the assessor, are sent out in late June of each year and are due back, by law, no later than July 31st. If a declaration is mailed to the taxpayer after July 15th it is due back within 15 days. The assessor may grant one or more 30 day extension`s on request.

"
"Assessor`s Office";"D) Business Personal Property";"May I Attach An Asset Listing To My Declaration?";"An asset listing may be attached to your signed and completed declaration. The listing must be in the format prescribed by the Assessor. A listing of the personal property, including year of acquisition, description, cost and your business name and Identifier number, can be <a href=\"mailto:declarations@washoecounty.us\">submitted</a> as an Excel spreadsheet. If the Excel spreadsheet is used, include the Identifier number and Business Name as it appears on the personal property declaration.

"
"Assessor`s Office";"D) Business Personal Property";"What If My Office Is In My Home?";"When operating a business from your home, report all personal property used for business purposes.
"
"Assessor`s Office";"D) Business Personal Property";"What If I Have Used Equipment?";"Report used equipment in the same manner as other personal property. If you do not have a record of your acquisition cost, you may report an estimate of the cost to replace the item, in it`s present condition, in the current calendar year.
"
"Assessor`s Office";"D) Business Personal Property";"What If I Use Someone Else`s Equipment?";"You will be required to furnish information regarding the name & address of the owner or lessor and a description of the equipment.
"
"Assessor`s Office";"D) Business Personal Property";"What If My Equipment Was Home Built?";"If equipment was home built, place a value on the equipment and report it along with other personal property.

"
"Assessor`s Office";"D) Business Personal Property";"Which Building Improvements Do I Report?";"Report all building improvements you have made in detail, including year of acquisition, description and cost. Our office will determine if they are taxable and also make sure they will not be taxed as both personal property and real property.
"
"Assessor`s Office";"D) Business Personal Property";"What If I Have No Personal Property?";"If you do not use any furniture, fixtures, equipment, etc. , please indicate this on the declaration. Continue to file a declaration every year you are in business and/or have a business license.

"
"Assessor`s Office";"D) Business Personal Property";"What Happens If I Do Not File A Declaration?";"<a href=http://www.leg.state.nv.us/NRS/NRS-361.html#NRS361Sec265>NRS 361.265</a> requires the Assessor to estimate the value of the personal property and issue a tax bill based on the estimated value.
"
"Assessor`s Office";"D) Business Personal Property";"When Do I Pay?";"Do not send payment with your declaration. Although a lien for the taxes attaches on July 1st, personal property bills are sent out between August and May of each fiscal year. Taxes are due on the \"due\" date on the personal property tax bill. In Washoe County the Treasurer`s Office collects the taxes.

There is no provision in the statues for proration. If you are in business on July 1st you are liable for the full tax amount.
"
"Assessor`s Office";"D) Business Personal Property";"What If I Disagree With My Assessment?";"If, in your opinion, the assessed value of your personal property shown on your bill is incorrect please feel free to contact the Assessor`s Office. If, after discussing the matter, a difference of opinion still exists, you may appeal your assessment to the County or State Board of Equalization. You may obtain the forms from the Assessor`s Office.

"
"Assessor`s Office";"D) Business Personal Property";"Do I Need To Notify The Assessor`s Office If I Change My Address Or If I`m No Longer In Business?";"Yes. Please note on the declaration, or tax bill, e-mail or otherwise notify our office in writing of any changes at any time of the year. Please include your new physical location, mailing address or the approximate date the business terminated.
"
"Assessor`s Office";"E) Contact Us";"<a href=\"/assessor/E_mail.htm\">Contact Us</a>";
"Assessor`s Office";"F) Public Service";"What Is The Function Of The Assessor`s Office?";"The role of the Assessor`s Office is to estimate property values. We do not collect taxes. But, by law, we must discover all taxable property in the County and appraise its value, then calculate 35% of that appraised value to determine its assessed value.

If your opinion of the value of your property differs from the Assessor`s, please contact our office and discuss the matter. We will be glad to answer your questions about the appraisal and explain how to appeal if we cannot come to an agreement.
"
"Assessor`s Office";"F) Public Service";"Who Sets The Tax Rate?";"Your tax rate is established in the spring of each year by the Nevada Tax Commission from budgets submitted by local governmental entities such as City of Reno, City of Sparks, Washoe County, Fire Protection Districts, School District and others. Services provided by those governmental bodies are a result of these budgets, and questions about governmental services should be directed to those agencies.
"
"Assessor`s Office";"F) Public Service";"How Are Taxes Collected?";"Taxes are collected by the <a href=\"http://www.washoecounty.us/treas\">County Treasurer</a> based on tax bills sent out in July, and on some new construction, bills sent out in December of each year. All questions on taxes paid or to be paid should be directed to the Treasurer`s Office at 328-2510.
"
"Assessor`s Office";"F) Public Service";"What Is The Taxable Value Of Your Property?";"The Taxable Value of your land is the Assessor`s estimate of its full cash value, taking into account its location, zoning, actual use, etc. The Taxable Value of your buildings is their estimated replacement cost less depreciation. Your taxes will be based on your total assessed value, which is 35% of your total appraised value. For value information on your property assessment data please click here to access the <a href=\"http://www.washoecounty.us/assessor/cama/index.php\"> parcel summary page</a>.
